39365	12	18	8	2	36	14	28	23	42	1	22	38	10	25	35	15	7	39	37	12	29	3	0	18	20	26	24	21	27	40	5	9	19	4	33	43	30	17	11	
39516	12	14	12	8	9	30	41	22	2	15	35	10	18	42	39	29	7	26	5	23	28	25	3	27	21	33	0	31	43	34	36	40	17	19	32	37	11	1	20	
39495	12	38	39	33	5	3	22	29	15	32	13	31	9	24	40	1	10	11	42	8	27	28	20	21	23	7	38	43	17	0	36	30	25	12	14	16	41	6	2	
39445	12	7	15	25	9	43	23	39	31	20	8	28	10	40	3	14	18	22	27	41	38	16	36	26	2	32	4	42	5	17	24	29	21	37	33	1	0	7	30	
39018	12	29	23	40	12	5	21	42	36	37	43	9	3	31	33	15	17	27	41	39	38	11	19	8	14	32	25	20	35	22	16	7	2	18	24	10	0	34	26	
40168	12	32	29	3	9	39	28	25	21	15	12	22	30	7	40	10	17	5	19	36	6	13	32	4	8	0	31	23	27	11	20	42	18	37	43	33	1	2	24	
39051	12	38	15	8	25	26	12	36	24	21	23	27	3	7	19	22	9	38	11	18	2	10	20	40	39	28	14	13	0	42	32	29	16	5	34	30	17	4	43	
39775	12	16	32	12	27	15	28	42	5	25	10	43	37	22	18	9	29	39	8	3	6	41	30	33	36	19	23	17	1	16	20	38	11	7	31	2	35	24	4	
39085	12	18	15	4	2	27	14	3	12	20	37	29	35	42	17	41	18	33	39	40	43	22	25	23	28	8	1	16	9	13	36	21	24	19	31	7	0	10	5	
39111	12	39	13	8	28	39	2	9	35	15	14	21	31	7	23	17	18	5	32	12	6	43	29	40	10	38	25	30	3	27	33	42	19	37	22	1	26	24	20	
39018	12	28	23	40	12	5	21	42	36	28	37	43	9	3	31	33	15	17	27	41	39	38	11	1	29	4	19	8	14	32	25	20	35	22	16	7	2	18	24	
40637	12	40	42	33	15	10	23	12	39	28	9	20	37	38	1	31	43	2	8	29	3	24	35	25	40	11	18	5	30	0	14	26	32	16	19	22	13	41	36	
39018	12	1	23	40	12	5	21	42	36	37	43	9	3	31	33	15	17	27	41	39	38	11	19	8	14	32	25	20	35	22	16	7	2	18	24	10	0	1	34	
40764	12	16	12	36	15	5	39	3	40	25	1	37	24	10	33	0	35	7	22	31	29	28	17	23	38	42	13	32	20	11	27	21	9	18	30	4	43	14	16	
39740	12	16	12	25	39	8	24	36	23	2	15	9	3	37	31	38	41	10	18	32	1	29	21	17	0	26	14	22	6	20	19	28	4	30	34	27	33	7	5	
39188	12	19	20	15	22	42	12	37	36	9	14	8	6	29	39	0	32	19	16	38	30	33	31	11	23	43	3	10	7	2	26	1	24	18	17	25	21	28	5	
40330	12	18	10	12	39	28	15	7	29	5	36	38	23	17	37	27	3	43	19	21	9	8	20	22	0	42	25	33	16	18	6	11	41	2	31	4	40	24	35	
