"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"	"patent_name"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101200065A"	"20080618"	"现场总线位置控制装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101200065B"	"20101006"	"现场总线位置控制装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101205017A"	"20080625"	"一种超薄玻璃洁净搬运机器人"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101205017B"	"20110928"	"一种超薄玻璃洁净搬运机器人"
"东软集团股份有限公司"	"02600718"	"CN101211407B"	"20111026"	"昼夜图像识别方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101211408B"	"20110525"	"车辆侧面图像识别方法及装置、车灯误识别检测和行驶安全预测方法"
"东软集团股份有限公司"	"02600718"	"CN101222379B"	"20101229"	"一种垃圾语音信息的监控方法和装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101226218B"	"20100602"	"一种电力电容器元件的寿命试验方法"
"沈阳化工股份有限公司"	"01000698"	"CN101230212A"	"20080730"	"一种白碳黑表面复合改性制备方法"
"沈阳化工股份有限公司"	"01000698"	"CN101230212B"	"20120822"	"一种白碳黑表面复合改性制备方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101236421A"	"20080806"	"一种现场总线多传感器融合装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101236421B"	"20101006"	"一种现场总线多传感器融合装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101236832B"	"20100929"	"一种端圈的制备工艺"
"西安标准工业股份有限公司"	"02600302"	"CN101250684A"	"20080827"	"一种钢铁工件的浅层渗碳工艺"
"中国西电电气股份有限公司"	"T000025764"	"CN101269414B"	"20100929"	"一种大型耐压铝壳体的铸造方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101314985A"	"20081203"	"一种屏蔽厂房门槛区域的屏蔽地面结构及施工方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101314985B"	"20100602"	"一种屏蔽厂房门槛区域的屏蔽地面结构及施工方法"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101319687A"	"20081210"	"自动复位防漏空气引射系统"
