f002_ths002,f011_ths002,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
"中航电测仪器股份有限公司",2002-12-25,无人驾驶,感知模块,车辆信息感知,高精度定位,MEMS-IMU,,,,,
"武汉力源信息技术股份有限公司",2001-08-09,物联网,应用层,终端设备,智能表计,,,,,,
"武汉力源信息技术股份有限公司",2001-08-09,物联网,感知层,感知硬件,通信芯片,,,,,,
"深圳清溢光电股份有限公司",1997-08-25,半导体材料,半导体晶圆制造材料,半导体掩模版（按用途）,,,,,,,
"深圳清溢光电股份有限公司",1997-08-25,集成电路,中游制造,掩膜版制造,,,,,,,
"深圳清溢光电股份有限公司",1997-08-25,集成电路,上游材料设备,半导体材料,半导体晶圆制造材料,半导体掩模版（按用途）,,,,,
"金陵药业股份有限公司",1998-09-08,生物制药,中药,中成药,活血剂,,,,,,
"金陵药业股份有限公司",1998-09-08,生物制药,化学制药,化学制剂,抗肿瘤药物,免疫调节剂,,,,,
"金陵药业股份有限公司",1998-09-08,生物制药,化学制药,化学制剂,血液及造血系统药物,"抗贫血药物 ",,,,,
"国网信息通信股份有限公司",1993-12-31,物联网,应用层,系统集成,工业互联网系统,,,,,,
"辽宁奥克化学股份有限公司",2000-01-01,化工新材料,专用化学品,多晶硅切削液,,,,,,,
"辽宁奥克化学股份有限公司",2000-01-01,化工新材料,聚氨酯材料,聚醚,,,,,,,
"广东通宇通讯股份有限公司",1996-12-16,物联网,感知层,感知硬件,接收天线,,,,,,
"鹭燕医药股份有限公司",2008-09-03,医疗器械,医用设备,医用监护设备,病人监护仪,,,,,,
"成都盟升电子技术股份有限公司",2013-09-06,物联网,感知层,感知硬件,接收天线,,,,,,
"青海春天药用资源科技股份有限公司",1998-08-28,生物制药,中药,中药材,,,,,,,
"安徽山河药用辅料股份有限公司",2001-04-27,生物制药,药用辅料,,,,,,,,
"广东安居宝数码科技股份有限公司",2004-12-29,无人驾驶,应用服务,停车信息,,,,,,,
"深圳科瑞技术股份有限公司",2001-05-23,物联网,应用层,系统集成,智慧物流系统,,,,,,
"北京天坛生物制品股份有限公司",1998-06-08,生物制药,生物制品,血液制品,免疫球蛋白,破伤风人免疫球蛋白,,,,,
"北京天坛生物制品股份有限公司",1998-06-08,生物制药,生物制品,血液制品,免疫球蛋白,乙型肝炎人免疫球蛋白,,,,,
"北京天坛生物制品股份有限公司",1998-06-08,生物制药,生物制品,血液制品,免疫球蛋白,人免疫球蛋白,,,,,
"北京天坛生物制品股份有限公司",1998-06-08,生物制药,生物制品,血液制品,免疫球蛋白,狂犬病人免疫球蛋白,,,,,
"北京天坛生物制品股份有限公司",1998-06-08,生物制药,生物制品,疫苗,二类疫苗,水痘疫苗,,,,,
"深圳顺络电子股份有限公司",2000-09-08,物联网,感知层,感知硬件,传感器,,,,,,
"瑞康医药集团股份有限公司",2004-09-21,医疗器械,医用耗材,低值医用耗材,医用消毒材料,,,,,,
"瑞康医药集团股份有限公司",2004-09-21,生物制药,化学制药,化学制剂,神经系统药物,"麻醉剂 ",,,,,
"包头东宝生物技术股份有限公司",1997-03-12,生物制药,生物制品,生物提取物,动物提取物,,,,,,
"贵阳朗玛信息技术股份有限公司",1998-09-24,大数据,数据应用,SaaS服务,智慧医疗系统,,,,,,
"河南清水源科技股份有限公司",1995-06-08,化工新材料,专用化学品,清洗剂,,,,,,,
"广西广播电视信息网络股份有限公司",2000-03-16,大数据,基础设施,网络服务,通信运营,,,,,,
"宁夏东方钽业股份有限公司",1999-04-30,超导材料,上游原料,超导合金,三元合金,,,,,,
"宁夏东方钽业股份有限公司",1999-04-30,超导材料,上游原料,超导元素,钽,,,,,,
"江中药业股份有限公司",1996-09-18,生物制药,中药,中成药,耳鼻喉科用中成药,,,,,,
"江中药业股份有限公司",1996-09-18,生物制药,中药,中成药,补虚剂,,,,,,
"江中药业股份有限公司",1996-09-18,生物制药,中药,中成药,消导剂,,,,,,
"江中药业股份有限公司",1996-09-18,生物制药,中药,中成药,安神剂,,,,,,
"江中药业股份有限公司",1996-09-18,生物制药,化学制药,化学制剂,血液及造血系统药物,"抗血栓药物 ",,,,,
"江中药业股份有限公司",1996-09-18,生物制药,生物制品,微生态制剂,,,,,,,
"宁波博汇化工科技股份有限公司",2005-10-12,化工新材料,其他化工新材料,碳纳米管,,,,,,,
"云赛智联股份有限公司",1987-01-10,大数据,数据应用,SaaS服务,云办公,,,,,,
"云赛智联股份有限公司",1987-01-10,大数据,数据应用,SaaS服务,信息安全系统,,,,,,
"云赛智联股份有限公司",1987-01-10,大数据,数据平台,数据管理系统,数据灾备系统,,,,,,
"云赛智联股份有限公司",1987-01-10,大数据,基础设施,基础软件,虚拟化系统,,,,,,
"云赛智联股份有限公司",1987-01-10,大数据,基础设施,基础软件,云操作系统,,,,,,
"山东日科化学股份有限公司",2003-12-26,化工新材料,其他化工新材料,塑料改性剂,,,,,,,
"山东日科化学股份有限公司",2003-12-26,化工新材料,合成树脂,其他合成树脂,ABS树脂,,,,,,
"山东日科化学股份有限公司",2003-12-26,化工新材料,合成树脂,工程塑料树脂,PMMA树脂,,,,,,
