"parent_company_name"	"company_name"	"estiblish_time"
"山东日科新材料有限公司"	"山东日科塑胶有限公司"	"2007/3/29"
"九次方大数据信息集团有限公司"	"河南平原大数据产业发展有限公司"	"2017/12/18"
"福建中景石化有限公司"	"福建省中江石化有限公司"	"2010/9/7"
"中勒空域科技有限公司"	"中勒自然保护科技有限公司"	"2019/8/21"
"中天宽带技术有限公司"	"深圳市深大唯同科技有限公司"	"2017/1/4"
"广东广弘医药有限公司"	"上药控股广东有限公司"	"1998-01-08"
"启东交通投资集团有限公司"	"启东交投大数据有限公司"	"2019/8/9"
"湖南汇思义企业管理咨询有限公司"	"怀化汇思义科技有限公司"	"2013/5/21"
"华润河南医药有限公司"	"华润三门峡医药有限公司"	"2012/11/8"
"安徽省凤台县淮河化工厂"	"安徽省凤台县淮河化工厂"	"1993/12/22"
"珍源汇福新材料股份有限公司"	"上海业锐新材料科技有限公司"	"2018/1/22"
"常熟阿特斯阳光电力科技有限公司"	"常熟新固光伏材料科技有限公司"	"2018/3/19"
"南平元力活性炭有限公司"	"福建元力环境工程有限公司"	"2015/12/29"
"天津长芦海晶集团有限公司"	"天津大沽化工股份有限公司"	"2000/12/20"
"文国集团股份有限公司"	"天国企业管理股份有限公司"	"2016/10/8"
"北京天科合达半导体股份有限公司"	"新疆天科合达蓝光半导体有限公司"	"2006/12/1"
"上药控股贵州有限公司"	"上药控股黔东南有限公司"	"2017-06-09"
"济南浪潮智投智能科技有限公司"	"攀枝花浪潮智慧城市科技有限公司"	"2019/1/7"
"广州薄板有限公司"	"广州JFE钢板有限公司"	"2003/12/5"
"海南四环医药有限公司"	"海南四环心脑血管药物研究院有限公司"	"2005/12/21"
"四川科道芯国智能技术股份有限公司"	"四川天府智链健康科技有限公司"	"2019/3/27"
"黄山博蓝特半导体科技有限公司"	"黄山博蓝特光电技术有限公司"	"2017/5/10"
"广州辰创科技发展有限公司"	"成都辰天信息科技有限公司"	"2017/3/21"
"山西楼东俊安煤气化有限公司"	"山西焦煤焦炭国际交易中心股份有限公司"	"2011/12/31"
"深圳市聚慧联科技有限公司"	"深圳市聚慧达科技有限公司"	"2019/5/10"
"榆林市鑫源福利化工厂"	"榆林市鑫源福利化工厂"	"1996/12/3"
"贵州中电云数据产业发展有限公司"	"贵州中电勇拓数据链科技有限公司"	"2017/6/16"
"新疆金兰科技发展有限公司"	"霍城金兰物联网科技发展有限公司"	"2017/8/10"
"北京毫米科技有限公司"	"深圳严肃点科技有限公司"	"2018/8/15"
"中信数字媒体网络有限公司"	"河南有线电视网络集团有限公司"	"2001-08-06"
"仁国集团股份有限公司"	"天国电子股份有限公司"	"2017/2/14"
"济南浪潮智投智能科技有限公司"	"广西百色智慧城市运营管理有限公司"	"2019/12/20"
"杭州金证引擎科技有限公司"	"山西金证引擎科技有限公司"	"2020/4/15"
"青岛有住投资控股有限公司"	"青岛有住华悦建设有限公司"	"2017/11/10"
"重庆长江复印材料厂"	"重庆长江复印材料厂"	"1981/4/28"
"中化化肥有限公司"	"贵州开磷集团股份有限公司"	"1995/12/25"
"山西省医药集团股份有限公司"	"山西省医药集团临汾股份有限公司"	"2017/6/8"
"天津塑力线缆集团有限公司"	"天津市琦特电力物资供应有限公司"	"1997/5/16"
"烟台万华氯碱有限责任公司"	"烟台万海舟化工有限公司"	"2002/12/20"
"文国集团股份有限公司"	"天国养老股份有限公司"	"2016/9/29"
"河南睿光新能源科技有限公司"	"河南宛能睿光新能源科技有限公司"	"2018/10/15"
"河北嘉泰化工科技有限公司"	"河北瀛泰化工科技有限公司"	"2014/6/9"
"气派科技股份有限公司"	"广东气派科技有限公司"	"2013/5/22"
"杭州金松物产有限公司"	"杭州普络飞新材料科技有限公司"	"2019/4/3"
"山东泰丰惠达经贸有限公司"	"鸡西市驰润经贸有限公司"	"2019/5/7"
"锦州惠发天合化学有限公司"	"锦州恒通氟化学有限公司"	"2004/8/30"
"河南中平瀚博新能源有限责任公司"	"河南易成新能碳材料有限公司"	"2016/4/27"
"山西省医药集团有限责任公司"	"国药集团山西有限公司"	"2011-04-14"
"天津药业集团有限公司"	"天津金耀集团天药销售有限公司"	"1993/10/8"
"陕西省大数据集团有限公司"	"铜川铜云信息技术有限公司"	"2020/5/21"
"深圳三代人科技有限公司"	"深圳市亚希彼斯科技有限公司"	"2014/8/14"
"深圳市龙岗区大鹏鹏星机械制造厂"	"深圳市龙岗区大鹏鹏星机械制造厂"	"1997/3/24"
"江苏润港石化有限公司"	"中源润港石化成都有限公司"	"2019/1/10"
"华润医药商业集团有限公司"	"华润山东医药有限公司"	"2000-02-28"
"山东联科科技股份有限公司"	"山东联科卡尔迪克白炭黑有限公司"	"2006/9/11"
"苏州海赛人工智能有限公司"	"苏州柏科数据信息科技研究院有限公司"	"2020/4/27"
"上海华康药用辅料应用技术开发公司"	"上海华康药用辅料应用技术开发公司"	"1993/6/11"
"江西鑫庆光伏电力有限公司"	"青州投宇光伏电力有限公司"	"2016/12/12"
"南平元力活性炭有限公司"	"江西元力怀玉山活性炭有限公司"	"2007/11/21"
"漳州市福通世纪科技集团有限公司"	"漳州市鸿福医疗科技有限公司"	"2020/5/25"
"上海聚惠生物医药产业开发有限公司"	"上海上创超导科技有限公司"	"2011/8/31"
"合利时智能科技有限公司"	"和利时智能科技有限公司"	"2020/2/25"
"鞍山市建设投资集团有限公司"	"鞍山市公共服务集团有限公司"	"2019/1/31"
"深圳市世纪晶源投资有限公司"	"深圳华神晶芯有限公司"	"2007/8/15"
"贵州华芯集成电路产业投资有限公司"	"贵州华芯睿远科技有限公司"	"2017/2/6"
"广东一方制药有限公司"	"江西一方天江药业有限公司"	"2017/6/20"
"上海科翀特种涂料有限公司"	"上海科翀石墨烯涂料技术有限公司"	"2016/8/24"
"江苏鼎竹科技股份有限公司"	"江苏家服易智能科技有限公司"	"2019/7/11"
"上药控股广东有限公司"	"上药控股江门有限公司"	"2013/6/6"
"都江堰市医药企业集团公司"	"都江堰市医药企业集团公司"	"1992/3/25"
"江西赛维LDK太阳能高科技有限公司"	"安徽赛维LDK新能源有限公司"	"2010/8/19"
"海南港澳生物制品有限公司"	"海南港澳景升生物制品有限公司"	"1994/10/14"
"四川蜀道通电子商务有限公司"	"遂宁蜀道通石油化工有限公司"	"2015/12/3"
"宝武炭材料科技有限公司"	"乌海宝杰新能源材料有限公司"	"2019/8/28"
"大连丽昌新材料有限公司"	"大连丽昌新材料研究所有限公司"	"2010/5/26"
"陕西三江能源化工有限公司"	"陕西三江能源煤气发电有限公司"	"2013/10/15"
"北京科途医学科技有限公司"	"浙江科途医学科技有限公司"	"2018/1/15"
"句容中友光伏科技有限公司"	"江苏协通光伏科技有限公司"	"2016/12/12"
"国药控股河南股份有限公司"	"国药控股商丘有限公司"	"2010/12/30"
"江西省通信产业服务有限公司"	"江西省邮电建设工程有限公司"	"1981/5/23"
"四川新光硅业科技有限责任公司"	"四川新光多晶硅工程技术有限公司"	"2008/6/26"
"广东双林生物制药有限公司"	"武宣双林单采血浆有限公司"	"2007/4/27"
"成都贡渣银行石墨烯国际贸易有限公司"	"成都贡渣银行联星置业有限公司"	"2016/12/29"
"中国纸业投资有限公司"	"泰格林纸集团股份有限公司"	"1990/3/13"
"天津塑力集团超高压电缆有限公司"	"天津市雅禄科技发展有限公司"	"2001/9/17"
"青岛有住投资控股有限公司"	"青岛有住弘安建设有限公司"	"2017/11/10"
"锦茂安全科技集团有限公司"	"山东锦茂旭敬文化传媒有限公司"	"2018/3/1"
"河南海王医药集团有限公司"	"河南海王百悦医药有限公司"	"2003-05-29"
"江苏华泰疫苗工程技术研究有限公司"	"江苏迈太首创生物技术有限公司"	"2017/9/21"
"民生药业集团有限公司"	"天地民生医药集团有限公司"	"2014/7/28"
"泰格林纸集团股份有限公司"	"湖南骏泰新材料科技有限责任公司"	"2006/6/20"
"成都赛瑞力科技有限公司"	"四川永孚志诚电力科技有限公司"	"2015/10/19"
"高要市生物制品有限公司"	"高要市生物制品有限公司"	"1995/3/13"
"江阴市胶粘剂厂"	"无锡信和化学工业有限公司"	"1991/12/3"
"上海宥纳新材料科技有限公司"	"常州优纳新材料科技有限公司"	"2017/3/27"
"福建炼油化工有限公司"	"福建省福橡化工有限责任公司"	"2009/12/25"
"河南九州通国华医药物流有限公司"	"河南九州通豫西南医药有限公司"	"2018/12/12"
"湖南海龙国际智能科技股份有限公司"	"湖南行迹智能科技有限公司"	"2017/11/27"
"府谷县联合镁业集团有限公司"	"府谷县联合镁业产品销售有限公司"	"2014/5/13"
"浙江三万药业有限公司"	"温州瓯创生物科技有限公司"	"2017/3/6"
"浙江泰德新材料有限公司"	"山东恒合新材料有限公司"	"2012/5/24"
"北京国瑞升科技股份有限公司"	"盘锦国瑞升科技有限公司"	"2016/11/1"
"上海庆江化工商行"	"上海庆江化工公司经营部"	"1993/5/18"
"好医生药业集团有限公司"	"云南圣科药业有限公司"	"2019/10/29"
"岳阳市富盛实业总公司"	"岳阳富丽印刷有限公司"	"1995/12/20"
"上海渊欣国际贸易有限公司"	"上海驰裕国际贸易有限公司"	"2016-03-30"
"福建榕昌化工有限公司"	"福建创源环保有限公司"	"2014/11/6"
"长江生态环保集团有限公司"	"长江三峡绿洲技术发展有限公司"	"2019/5/24"
"威海爱尔眼科医院有限公司"	"乳山爱尔眼科医院有限公司"	"2018/5/25"
"江苏徐工信息技术股份有限公司"	"广东徐工汉云工业互联网有限公司"	"2019/2/13"
"合肥壹物新材料科技股份有限公司"	"合肥芯物半导体材料有限公司"	"2018/7/10"
"江西蓝恒达化工有限公司"	"江西赛维LDK光伏硅科技有限公司"	"2007/7/12"
"德力西电气有限公司"	"浙江德力西国际电工有限公司"	"2001/12/19"
"合肥中科类脑智能技术有限公司"	"合肥湛达智能科技有限公司"	"2014/3/12"
"华云数据有限公司"	"合肥华云数据有限公司"	"2019/8/21"
"海南天煌制药有限公司"	"琼海永金化学制药有限公司"	"2006/12/30"
"青岛有住投资控股有限公司"	"青岛有住中茂建设有限公司"	"2017/11/10"
"深圳极智联合科技股份有限公司"	"浙江极智通信科技股份有限公司"	"2017/1/25"
"张家港市国泰华荣化工新材料有限公司"	"宁德国泰华荣新材料有限公司"	"2017/5/5"
"北京国瑞升科技股份有限公司"	"南阳国瑞升新材料有限公司"	"2014/11/26"
"陕西有色天宏新能源有限责任公司"	"陕西有色天宏瑞科硅材料有限责任公司"	"2014/7/24"
"江门东洋油墨有限公司"	"成都东洋油墨有限公司"	"2012/4/27"
"陕西省大数据集团有限公司"	"紫光陕数大数据有限公司"	"2017/12/28"
"蓝锋人工智能科技股份公司"	"先德疗养院股份有限公司"	"2019/9/29"
"重庆东星炭素材料有限公司"	"重庆晶炭新能源科技有限公司"	"2014/9/5"
"江汉油田大宇石油技术开发潜江有限公司"	"湖北江汉良机石化工程集团有限公司"	"1999/9/29"
"沈阳市振兴过滤纸板厂"	"沈阳市振兴过滤纸板厂"	"1990/6/21"
"沈阳美强医药中间体厂"	"沈阳美强医药中间体厂"	"1993/10/5"
"北京化学工业集团有限责任公司"	"北京华腾橡塑乳胶制品有限公司"	"1992-12-26"
"广东彩辉计算机技术服务有限公司"	"广东中磊投资集团有限公司"	"2018/1/2"
