"机构名称(中文)"	"机构ID"	"ID"	"years"
"广联达科技股份有限公司"	"T000026577"	"QKC20192019070800060052"	"2019"
"株洲时代新材料科技股份有限公司"	"03130221"	"QKC20192019070800061513"	"2019"
"西部超导材料科技股份有限公司"	"T000027183"	"QKC20192019070800071627"	"2019"
"天津赛象科技股份有限公司"	"T000026244"	"QKC20192019070800075111"	"2019"
"马应龙药业集团股份有限公司"	"03130716"	"QKC20192019070800081410"	"2019"
"上海振华重工(集团)股份有限公司"	"02900947"	"QKC20192019070800085876"	"2019"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019070800094725"	"2019"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019070800099402"	"2019"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019070800112376"	"2019"
"石家庄科林电气股份有限公司"	"T000062800"	"QKC20192019071000016005"	"2019"
"广西柳工机械股份有限公司"	"01000528"	"QKC20192019071000030081"	"2019"
"上海天永智能装备股份有限公司"	"T000544618"	"QKC20192019071000032779"	"2019"
"深圳达实智能股份有限公司"	"T000026683"	"QKC20192019071000047768"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019071000053815"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019071000055598"	"2019"
"山东新华医疗器械股份有限公司"	"03130186"	"QKC20192019071000070868"	"2019"
"广州杰赛科技股份有限公司"	"T000026694"	"QKC20192019071000084177"	"2019"
"中国外运股份有限公司"	"00067474"	"QKC20192019071000116829"	"2019"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019071000121747"	"2019"
"中远海运发展股份有限公司"	"03133744"	"QKC20192019071600012298"	"2019"
"中国中材国际工程股份有限公司"	"03131067"	"QKC20192019071600029305"	"2019"
"杭萧钢构股份有限公司"	"03130503"	"QKC20192019071600031213"	"2019"
"安徽皖通科技股份有限公司"	"T000026217"	"QKC20192019071600055593"	"2019"
"中国软件与技术服务股份有限公司"	"03130108"	"QKC20192019071600062652"	"2019"
"金花企业(集团)股份有限公司"	"02600080"	"QKC20192019071600070160"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019071600071100"	"2019"
"长城证券股份有限公司"	"00064581"	"QKC20192019071600098760"	"2019"
"中信银行股份有限公司"	"03133579"	"QKC20192019071600109627"	"2019"
"广东水电二局股份有限公司"	"03131941"	"QKC20192019071600110112"	"2019"
"长飞光纤光缆股份有限公司"	"T000161964"	"QKC20192019071600112569"	"2019"
"思创医惠科技股份有限公司"	"T000027215"	"QKC20192019071600127198"	"2019"
"创业慧康科技股份有限公司"	"00087886"	"QKC20192019072400000074"	"2019"
"江苏蓝丰生物化工股份有限公司"	"T000029033"	"QKC20192019072400005004"	"2019"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019072400015841"	"2019"
"三维通信股份有限公司"	"03133283"	"QKC20192019072400019273"	"2019"
"山东山大华特科技股份有限公司"	"01000915"	"QKC20192019072400118872"	"2019"
"岳阳林纸股份有限公司"	"03130723"	"QKC20192019073100003795"	"2019"
"深圳市沃尔核材股份有限公司"	"03133570"	"QKC20192019073100010317"	"2019"
"中达安股份有限公司"	"T000271247"	"QKC20192019073100034114"	"2019"
"安徽省交通规划设计研究总院股份有限公司"	"T000348011"	"QKC20192019073100044260"	"2019"
"中航飞机股份有限公司"	"01000768"	"QKC20192019073100089975"	"2019"
"航天信息股份有限公司"	"03130421"	"QKC20192019081400009296"	"2019"
"惠州亿纬锂能股份有限公司"	"T000025733"	"QKC20192019081400016339"	"2019"
"陕西省天然气股份有限公司"	"00076771"	"QKC20192019081400026132"	"2019"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019081400040145"	"2019"
"天津凯发电气股份有限公司"	"T000058785"	"QKC20192019081400050533"	"2019"
"江苏天瑞仪器股份有限公司"	"T000032800"	"QKC20192019081400052404"	"2019"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019081400071896"	"2019"
"佛山市金银河智能装备股份有限公司"	"T000179183"	"QKC20192019081400073357"	"2019"
"中贝通信集团股份有限公司"	"T004581661"	"QKC20192019081400082470"	"2019"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019081400087856"	"2019"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019081400090314"	"2019"
"贵州省广播电视信息网络股份有限公司"	"T000122551"	"QKC20192019081400108594"	"2019"
"浙江菲达环保科技股份有限公司"	"03130147"	"QKC20192019081400128513"	"2019"
"兖州煤业股份有限公司"	"02600188"	"QKC20192019082200009592"	"2019"
"中芯国际集成电路制造有限公司"	"T000001188"	"QKC20192019082200012662"	"2019"
"珠海格力电器股份有限公司"	"01000651"	"QKC20192019082200043897"	"2019"
"杭州联科生物技术股份有限公司"	"T000193088"	"QKC20192019082200052782"	"2019"
"深圳市优博讯科技股份有限公司"	"T000125447"	"QKC20192019082200057039"	"2019"
"广东水电二局股份有限公司"	"03131941"	"QKC20192019082200076410"	"2019"
"四川长虹电器股份有限公司"	"02600839"	"QKC20192019082200092768"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019082200110282"	"2019"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019082200113944"	"2019"
"深圳广田集团股份有限公司"	"T000028341"	"QKC20192019082800018002"	"2019"
"贵州省交通规划勘察设计研究院股份有限公司"	"T000281791"	"QKC20192019082800033968"	"2019"
"许继电气股份有限公司"	"01000400"	"QKC20192019082800047116"	"2019"
"广东宏大爆破股份有限公司"	"T000007613"	"QKC20192019082800056113"	"2019"
"中国中车股份有限公司"	"00076917"	"QKC20192019082800080406"	"2019"
"远光软件股份有限公司"	"03131965"	"QKC20192019082800100796"	"2019"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019090400016188"	"2019"
"内蒙古蒙草生态环境(集团)股份有限公司"	"T000058651"	"QKC20192019090400046499"	"2019"
"福建漳州发展股份有限公司"	"01000753"	"QKC20192019090400059074"	"2019"
"中国铁路通信信号股份有限公司"	"T000076136"	"QKC20192019091600005782"	"2019"
"人福医药集团股份公司"	"02600079"	"QKC20192019091600027347"	"2019"
"深圳市天威视讯股份有限公司"	"03134722"	"QKC20192019091600043332"	"2019"
"常州天晟新材料股份有限公司"	"T000032775"	"QKC20192019091600052301"	"2019"
"洛阳北方玻璃技术股份有限公司"	"T000027218"	"QKC20192019091600060086"	"2019"
"洛阳栾川钼业集团股份有限公司"	"T000000933"	"QKC20192019091600080829"	"2019"
"河南省交通规划设计研究院股份有限公司"	"T000270353"	"QKC20192019091600125801"	"2019"
"广州海格通信集团股份有限公司"	"T000027805"	"QKC20192019091600181544"	"2019"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019091600220297"	"2019"
"昆明龙津药业股份有限公司"	"T000058718"	"QKC20192019091600234456"	"2019"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019091800005803"	"2019"
"新华网股份有限公司"	"T000035461"	"QKC20192019091800021969"	"2019"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019091800022507"	"2019"
"紫光国芯微电子股份有限公司"	"03131126"	"QKC20192019091800047520"	"2019"
"株洲冶炼集团股份有限公司"	"03130835"	"QKC20192019091800085930"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019091800106079"	"2019"
"福建龙净环保股份有限公司"	"03129946"	"QKC20192019091800110216"	"2019"
"新乡化纤股份有限公司"	"01000949"	"QKC20192019092500003719"	"2019"
"卧龙电气驱动集团股份有限公司"	"03130123"	"QKC20192019092500009457"	"2019"
"山西焦化股份有限公司"	"02600740"	"QKC20192019092500039219"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019092500055757"	"2019"
"广州航新航空科技股份有限公司"	"T000061148"	"QKC20192019092500060694"	"2019"
"广州万孚生物技术股份有限公司"	"T000117220"	"QKC20192019092500079649"	"2019"
"北京银行股份有限公司"	"03133989"	"QKC20192019092500080855"	"2019"
"株洲千金药业股份有限公司"	"03130652"	"QKC20192019101200005498"	"2019"
"广联达科技股份有限公司"	"T000026577"	"QKC20192019101200033895"	"2019"
