"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"金堆城钼业股份有限公司"	"03134603"	"CN101352759A"	"20090128"
"西部金属材料股份有限公司"	"03133852"	"CN101352787A"	"20090128"
"西部金属材料股份有限公司"	"03133852"	"CN101352787B"	"20110126"
"西部金属材料股份有限公司"	"03133852"	"CN101352803A"	"20090128"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101353581A"	"20090128"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101353581B"	"20120530"
"西部金属材料股份有限公司"	"03133852"	"CN101353727A"	"20090128"
"金堆城钼业股份有限公司"	"03134603"	"CN101353885A"	"20090128"
"金堆城钼业股份有限公司"	"03134603"	"CN101353885B"	"20100421"
"西部金属材料股份有限公司"	"03133852"	"CN101354326A"	"20090128"
"西部金属材料股份有限公司"	"03133852"	"CN101354326B"	"20110504"
"金堆城钼业股份有限公司"	"03134603"	"CN101354331A"	"20090128"
"中国西电电气股份有限公司"	"T000025764"	"CN101354936A"	"20090128"
"中国西电电气股份有限公司"	"T000025764"	"CN101354936B"	"20100929"
"西部金属材料股份有限公司"	"03133852"	"CN101358325A"	"20090204"
"西部金属材料股份有限公司"	"03133852"	"CN101362204A"	"20090211"
"西部金属材料股份有限公司"	"03133852"	"CN101362204B"	"20100609"
"西部金属材料股份有限公司"	"03133852"	"CN101362234A"	"20090211"
"中国西电电气股份有限公司"	"T000025764"	"CN101367614A"	"20090218"
"中国西电电气股份有限公司"	"T000025764"	"CN101367614B"	"20110504"
"东软集团股份有限公司"	"02600718"	"CN101373515A"	"20090225"
"东软集团股份有限公司"	"02600718"	"CN101373515B"	"20100818"
"东软集团股份有限公司"	"02600718"	"CN101373541A"	"20090225"
"东软集团股份有限公司"	"02600718"	"CN101373541B"	"20100915"
"东软集团股份有限公司"	"02600718"	"CN101378538A"	"20090304"
"东软集团股份有限公司"	"02600718"	"CN101378538B"	"20120418"
