40439	12	16	16	31	12	30	18	15	11	33	6	17	8	32	10	5	7	14	26	9	36	38	13	39	22	1	35	0	37	42	40	34	21	29	27	41	2	19	28	
31085	12	21	21	17	18	19	27	12	26	20	23	1	25	29	16	28	22	11	6	30	0	2	4	8	38	33	31	13	3	42	39	5	34	40	37	14	7	32	35	
54211	12	12	12	17	30	16	13	18	6	31	7	10	33	26	5	11	32	15	8	39	38	27	34	35	21	1	42	36	37	14	9	29	19	40	41	25	22	0	28	
34135	12	12	31	33	32	16	4	30	1	28	3	35	36	0	11	12	2	26	13	25	15	18	29	23	6	19	17	22	8	5	27	10	34	24	7	39	14	37	38	
54670	12	3	0	3	2	29	25	23	4	1	22	26	27	28	17	19	24	6	30	34	37	11	21	5	38	40	16	31	18	12	7	39	8	42	10	33	35	41	32	
38854	12	38	38	40	39	37	41	42	17	11	26	31	18	15	6	30	12	16	33	8	29	4	22	13	1	21	10	28	7	27	0	19	32	34	23	25	36	35	3	
39882	12	27	25	3	1	29	24	28	27	0	19	26	22	2	23	4	17	18	31	30	6	35	12	11	38	37	8	16	39	21	40	5	34	36	33	14	13	41	32	
39134	12	13	13	12	33	9	31	6	16	8	15	35	30	32	11	36	10	18	7	17	5	14	42	34	39	26	38	37	29	22	41	25	40	2	19	1	21	28	27	
16438	12	21	21	17	19	18	27	23	12	28	1	25	26	29	11	2	16	30	22	0	20	6	3	38	4	31	37	33	34	5	15	32	39	35	13	40	8	24	7	
39636	12	25	23	25	4	24	29	3	1	28	26	27	2	19	0	22	17	18	35	38	31	37	30	16	34	11	21	6	39	8	36	33	40	12	5	15	13	32	42	
39597	12	4	4	24	25	3	23	1	29	28	0	2	22	19	27	26	17	18	16	30	6	37	38	31	35	12	5	39	21	33	34	36	11	42	40	8	15	14	32	
25745	12	27	23	27	1	25	4	19	29	24	3	28	0	26	2	22	17	18	21	38	31	11	30	16	35	37	6	33	40	5	39	12	34	8	36	13	15	32	14	
19311	12	1	1	4	25	27	19	23	3	22	24	29	17	28	21	26	0	18	2	30	12	38	11	16	39	6	5	37	33	31	40	34	35	8	42	13	20	32	36	
39630	12	19	19	29	27	26	28	1	18	23	4	3	25	17	24	2	21	0	16	22	30	38	11	12	31	33	39	40	37	34	6	5	8	15	20	42	36	35	13	
18541	12	6	12	33	7	11	6	31	16	30	18	5	15	10	8	32	14	13	35	17	39	26	42	36	34	37	29	38	9	22	2	40	0	28	41	1	25	27	4	
54359	12	25	29	25	1	3	4	0	28	23	2	22	19	26	27	24	17	6	16	18	38	11	12	31	40	30	37	39	10	34	15	8	21	5	14	33	13	35	7	
38959	12	15	15	6	12	16	33	36	31	18	30	35	11	7	13	17	10	39	14	9	34	37	32	8	42	38	26	40	21	28	29	5	27	2	41	22	19	25	0	
39928	12	15	15	30	42	16	12	6	40	33	17	11	31	39	7	8	38	18	26	37	32	21	35	13	34	36	41	5	2	22	0	14	10	27	1	28	29	19	9	
40350	12	15	15	16	33	36	12	31	30	35	6	18	11	17	32	13	7	8	10	26	34	38	29	39	21	27	25	2	9	19	37	5	42	14	28	1	40	23	22	
24313	12	33	33	16	31	13	12	32	11	30	35	36	15	6	18	8	10	9	7	5	17	34	14	26	19	39	42	37	38	27	22	21	1	2	25	28	29	40	0	
26785	12	18	28	23	18	1	25	26	27	19	29	17	21	4	3	2	22	24	0	16	11	12	30	38	31	6	37	34	33	40	5	35	20	32	39	15	36	8	13	
38725	12	29	29	33	25	19	27	23	4	17	1	18	26	21	28	12	31	24	11	22	16	3	2	30	32	0	6	13	8	36	10	15	35	38	5	37	34	7	9	
32856	12	8	12	17	30	26	39	16	18	31	29	38	5	22	6	28	7	11	15	23	19	21	42	13	4	2	40	37	27	25	1	0	34	33	8	36	35	10	14	
39285	12	16	16	33	31	18	30	32	35	12	11	15	13	17	36	6	8	7	5	34	10	21	9	38	26	14	19	39	37	22	42	27	20	29	1	28	40	41	0	
33696	12	11	15	12	33	6	13	16	30	11	31	35	17	18	39	26	8	36	32	5	7	42	34	10	37	21	40	38	1	22	19	9	14	29	41	2	28	25	0	
39720	12	13	13	33	35	12	30	11	16	31	18	15	6	17	32	9	26	8	36	7	5	21	10	38	19	22	37	34	39	29	14	40	41	42	1	27	23	0	25	
32738	12	8	16	12	33	6	31	13	11	30	10	18	15	9	32	8	5	7	26	17	34	39	35	37	22	14	42	28	36	38	1	21	25	41	29	2	23	0	40	
40489	12	31	33	31	13	16	30	12	11	32	35	15	36	8	18	6	9	10	7	17	26	5	34	39	14	42	23	22	37	38	19	40	21	28	1	41	2	0	29	
33412	12	16	16	33	31	13	12	30	6	32	11	15	10	9	7	18	8	35	36	17	5	34	14	39	42	38	26	37	22	40	1	28	0	4	29	19	41	25	2	
40603	12	19	19	16	17	27	18	21	12	30	11	29	23	26	28	38	1	25	6	31	22	0	33	2	15	10	4	34	5	39	42	7	13	37	3	36	20	35	40	
54649	12	4	4	28	25	29	27	23	1	24	19	2	26	22	18	17	0	3	16	11	21	35	12	6	31	30	37	36	38	10	34	40	8	7	32	39	13	15	33	
24138	12	31	31	32	13	33	30	16	12	35	36	11	15	8	6	10	9	18	7	5	14	34	17	39	42	26	37	38	19	28	40	21	27	25	29	22	41	2	23	
15363	12	40	40	39	38	42	37	41	6	16	12	30	17	31	26	15	18	13	14	11	29	1	36	33	8	25	27	4	28	7	21	35	23	32	22	10	2	19	5	
26619	12	18	23	29	25	1	28	24	4	26	18	3	17	2	21	27	19	22	0	11	30	16	12	31	6	34	37	35	5	38	15	32	33	7	20	40	8	39	36	
39190	12	16	16	30	12	18	17	11	38	33	6	26	7	31	5	22	39	1	14	32	21	27	15	25	19	29	35	2	13	40	34	23	28	4	0	8	42	36	3	
3260	12	4	27	23	4	26	28	22	25	29	1	24	19	17	18	3	16	2	0	34	30	6	11	12	31	5	39	38	7	21	35	33	15	37	13	42	36	8	40	
32641	12	9	9	13	10	12	16	30	33	18	31	8	6	35	15	11	36	7	32	34	5	14	17	39	38	21	37	26	42	19	40	22	1	29	28	41	25	23	27	
27309	12	29	23	29	26	27	19	28	18	21	1	17	25	4	2	3	0	24	11	22	30	16	12	36	31	33	6	38	20	39	5	32	35	40	8	34	10	15	13	
10491	12	25	23	25	29	27	19	18	28	1	3	24	4	26	17	21	2	22	0	12	16	35	31	30	11	20	6	37	34	38	33	15	5	39	36	32	8	7	13	
38294	12	2	25	0	29	1	3	2	23	22	26	4	27	28	17	24	30	19	18	16	31	40	38	12	6	37	21	11	8	34	15	42	39	5	10	33	41	13	35	
54633	12	32	40	39	38	41	42	37	17	16	15	30	6	12	31	18	11	26	21	28	33	13	22	29	7	8	4	1	14	10	19	34	23	27	36	25	32	0	3	
54283	12	1	29	4	25	1	3	26	2	23	19	28	27	0	24	17	22	18	16	38	12	31	6	37	11	33	40	30	21	34	36	10	8	5	35	13	39	15	42	
38424	12	7	18	7	6	11	10	13	12	16	8	9	31	33	15	5	30	17	35	32	14	39	36	42	26	34	38	20	29	22	37	21	1	0	25	2	27	4	41	
39667	12	12	12	16	33	18	11	30	17	31	15	6	13	26	39	29	36	9	7	19	42	38	35	8	27	40	10	32	0	22	37	21	25	14	5	1	34	41	23	
11805	12	8	8	10	30	16	12	6	11	31	33	13	32	5	18	26	7	39	15	17	35	37	36	28	14	9	34	42	40	38	29	22	0	25	1	21	4	41	27	
26276	12	29	3	1	24	29	23	25	4	28	27	0	26	19	2	22	17	18	35	30	11	6	38	37	16	31	34	21	39	40	5	12	15	8	13	10	36	42	33	
11709	12	13	13	35	33	16	12	18	6	30	11	15	31	36	9	17	7	5	32	38	26	39	8	10	34	14	21	42	37	40	22	1	41	19	0	29	2	27	28	
36067	12	27	29	27	26	1	28	19	23	4	25	3	2	17	0	24	11	18	22	30	16	37	31	38	6	33	34	39	36	40	21	35	32	7	5	15	12	10	13	
39294	12	8	8	10	12	33	30	16	31	11	6	32	13	18	7	17	26	5	15	39	35	36	34	37	42	38	40	9	22	29	0	27	21	14	1	2	4	28	25	
19234	12	2	27	17	29	26	4	25	1	23	28	18	22	0	12	30	16	38	2	19	11	39	3	5	21	31	34	7	37	6	15	35	13	40	33	24	42	14	36	
21294	12	27	28	1	27	23	4	29	25	0	24	2	19	26	3	17	22	18	21	16	12	30	6	11	31	34	37	35	36	33	5	38	40	8	10	39	15	42	13	
11954	12	28	29	28	26	27	1	19	4	23	3	25	2	0	24	22	17	18	11	16	38	35	31	37	39	34	30	33	21	12	6	40	42	8	14	36	5	10	15	
40651	12	6	6	12	13	14	35	16	11	30	10	36	33	18	15	31	8	7	17	5	26	34	9	37	32	39	38	1	29	42	40	2	27	25	28	0	4	22	41	
